title;year;rate;country;category;director
Жизнь Дэвида Гейла;2002;8.1;Великобритания, Германия, Испания, США;триллер, драма, криминал;Алан Паркер
Пираты Карибского моря: Мертвецы не рассказывают сказки;2017;6.6;США, Австралия, Великобритания, Канада;фэнтези, боевик, комедия, приключения;Хоаким Роннинг, Эспен Сандберг
Солярис;1972;8.0;СССР;фантастика, драма, детектив;Андрей Тарковский
Большой Лебовски;1998;7.8;США, Великобритания;комедия, криминал;Джоэл Коэн, Итан Коэн
Один дома;1990;8.3;США;комедия, семейный;Крис Коламбус
Идентификация;2003;7.6;США;триллер, детектив;Джеймс Мэнголд
Терминал;2004;8.1;США;драма, мелодрама, комедия;Стивен Спилберг
Рататуй;2007;8.0;США;мультфильм, приключения, комедия, семейный, фэнтези, драма;Брэд Бёрд, Ян Пинкава
Обитель зла;2002;7.5;США, Германия;ужасы, боевик, фантастика;Пол У. С. Андерсон
Поездка на выходные;2022;6.1;США;триллер, драма, криминал, детектив;Ким Фаррант
Стрелок;2007;7.7;США;боевик, триллер, драма;Антуан Фукуа
Воспоминания;2021;6.6;США;фантастика, триллер, мелодрама, детектив;Лиза Джой
Умница Уилл Хантинг;1997;8.1;США;драма, мелодрама;Гас Ван Сент
Хэллоуин убивает;2021;5.2;США;ужасы;Дэвид Гордон Грин
Солнцестояние;2019;6.5;Швеция, США;ужасы, драма, триллер;Ари Астер
Люди в чёрном;1997;8.0;США;фантастика, боевик, комедия, приключения;Барри Зонненфельд
Тайна Коко;2017;8.6;США, Мексика;мультфильм, фэнтези, комедия, приключения, семейный, музыка;Ли Анкрич, Эдриан Молина
Война миров Z;2013;7.0;США;ужасы, фантастика, боевик, приключения;Марк Форстер
Холодное сердце 2;2019;7.2;США;мультфильм, мюзикл, фэнтези, комедия, приключения, семейный;Крис Бак, Дженнифер Ли
Дьявол всегда здесь;2020;7.1;США;триллер, драма, криминал;Антонио Кампос
Семья по-быстрому;2018;7.5;США;драма, комедия, семейный;Шон Андерс
Ряд 19;2021;4.9;Россия;ужасы, триллер;Александр Бабаев
Тор: Любовь и гром;2022;7.2;США;фэнтези, боевик, приключения;Тайка Вайтити
Кто там;2014;5.6;США, Чили, Израиль;триллер;Элай Рот
Адвокат дьявола;1997;8.2;США, Германия;триллер, фэнтези, драма, детектив;Тейлор Хэкфорд
Заклятие 3: По воле дьявола;2021;6.3;США;ужасы, детектив;Майкл Чавес
Банды Нью-Йорка;2002;7.7;США, Германия, Великобритания, Нидерланды, Италия;драма, криминал;Мартин Скорсезе
Утраченные иллюзии;2021;7.5;Франция, Бельгия;драма, мелодрама;Ксавье Джанноли
Отряд самоубийц: Миссия навылет;2021;6.7;США;боевик, фантастика, комедия, фэнтези;Джеймс Ганн
Дьявол в деталях;2020;6.6;США;детектив, криминал, триллер, драма;Джон Ли Хэнкок
Армия воров;2021;6.4;Германия, США;боевик, триллер, криминал;Маттиас Швайгхёфер
Гангстер, коп и дьявол;2019;7.2;Корея Южная;триллер, боевик, криминал, детектив;Ли Вон-тхэ
Это всё он;2021;6.1;США;мелодрама, комедия;Марк Уотерс
Мальчишник в Вегасе;2009;7.9;США;комедия;Тодд Филлипс
Ничего хорошего в отеле «Эль Рояль»;2018;7.1;США;триллер, драма, криминал, детектив;Дрю Годдард
Двухсотлетний человек;1999;8.0;США, Германия;фантастика, драма, комедия;Крис Коламбус
Шоу Трумана;1998;8.3;США;драма, комедия;Питер Уир
Алита: Боевой ангел;2019;7.2;США, Япония, Канада;фантастика, боевик, приключения;Роберт Родригес
Нефть;2007;7.8;США;драма;Пол Томас Андерсон
Заложница;2007;7.9;Франция, США, Великобритания;боевик, триллер, криминал;Пьер Морель
Место под соснами;2012;7.3;США;триллер, драма, криминал;Дерек Сиенфрэнс
Сёстры;2001;7.6;Россия;драма, криминал;Сергей Бодров мл.
Железный человек 3;2013;7.5;США;фантастика, боевик, приключения;Шейн Блэк
Приключения Пильи;2021;7.4;Франция;мультфильм, фэнтези, приключения;Жюльен Фурне
Батя;2020;7.2;Россия;комедия, мелодрама;Дмитрий Ефимович
Жажда золота;2021;5.6;Австралия;боевик, триллер;Энтони Хэйес
Утомленные солнцем 2: Цитадель;2011;3.5;Россия;драма, военный;Никита Михалков
Пламенное сердце;2022;6.4;Франция, Канада;мультфильм, комедия, приключения, семейный;Теодор Ти, Лоран Зэйтун
Разрушение;2015;7.2;США;драма, комедия;Жан-Марк Валле
Револьвер;2005;7.4;Великобритания, Франция;боевик, триллер, драма, криминал, детектив;Гай Ричи
Однажды в кино;2021;7.2;Индия, Франция, США;драма;Пан Налин
Гудбай, Америка;2020;6.6;Россия;мелодрама, комедия;Сарик Андреасян
Век Адалин;2015;7.6;США, Канада;драма, мелодрама, фэнтези;Ли Толанд Кригер
Волынь;2016;7.0;Польша;военный, драма, история;Войчех Смажовски
Война;2002;8.0;Россия;боевик, военный, история, драма;Алексей Балабанов
Тор: Рагнарёк;2017;7.6;США, Австралия;фантастика, фэнтези, боевик, комедия, приключения;Тайка Вайтити
Рапунцель: Запутанная история;2010;7.9;США, Германия;мультфильм, мюзикл, фэнтези, мелодрама, комедия, приключения, семейный;Нэйтан Грено, Байрон Ховард
Убийство в Восточном экспрессе;2017;6.8;США, Мальта, Великобритания;детектив, криминал, драма;Кеннет Брана
Олдбой;2003;8.1;Корея Южная;триллер, детектив, драма, боевик, криминал;Пак Чхан-ук
Последний богатырь: Корень зла;2020;6.9;Россия;фэнтези, приключения, комедия, семейный;Дмитрий Дьяченко
Город героев;2014;7.9;США, Япония;мультфильм, фантастика, комедия, семейный, боевик;Дон Холл, Крис Уильямс
Последний богатырь;2017;6.9;Россия;комедия, фэнтези, приключения, семейный;Дмитрий Дьяченко
Похождения императора;2000;7.9;США;мультфильм, фэнтези, комедия, приключения, семейный;Марк Диндал
Время;2021;6.4;США, Япония;триллер, драма, фантастика;М. Найт Шьямалан
Страсть под запретом;2021;5.4;Латвия;комедия;Андрейс Экис 
Красотка;1990;8.0;США;мелодрама, комедия;Гэрри Маршалл
Моя ужасная сестра;2021;5.3;Россия;семейный;Александр Галибин
Доктор Стрэндж: В мультивселенной безумия;2022;7.2;США;ужасы, фантастика, фэнтези, боевик, приключения;Сэм Рэйми
Пираты Карибского моря: На краю света;2007;8.0;США;приключения, боевик, фэнтези;Гор Вербински
Спенсер;2021;6.2;Великобритания, Германия, США, Чили;биография, драма, мелодрама;Пабло Ларраин
Исчезнувший;2021;6.0;Великобритания, Франция, Германия;триллер, драма, криминал, детектив;Кристиан Карион
Реальные упыри;2014;7.4;Новая Зеландия;комедия, ужасы;Джемейн Клемент, Тайка Вайтити
Звёздные войны: Скайуокер. Восход;2019;6.0;США;фантастика, фэнтези, боевик, приключения;Джей Джей Абрамс
Отец;2020;7.8;Великобритания, Франция, США;драма;Флориан Зеллер
500 дней лета;2009;7.6;США;мелодрама, комедия;Марк Уэбб
Мы;2019;6.3;США, Китай, Япония;ужасы, триллер, детектив, комедия;Джордан Пил
Роман служанки;2021;5.7;Великобритания, Германия;драма, мелодрама;Ева Хассон
Техасская резня бензопилой;2022;5.2;США, Болгария;ужасы;Дэвид Блу Гарсиа
Ведьмы;2020;5.7;США, Мексика, Великобритания;фэнтези, комедия, семейный;Роберт Земекис
Я иду искать;2019;6.9;США, Канада;триллер, комедия, ужасы;Мэттью Беттинелли, Тайлер Джиллетт
Белфаст;2021;7.0;Великобритания;драма, биография, история;Кеннет Брана
Оно;2017;7.3;США, Канада;ужасы, фэнтези, драма, детектив;Андрес Мускетти
Девять ярдов;2000;7.7;США;комедия, криминал;Джонатан Линн
Гарри Поттер и Тайная комната;2002;8.1;Великобритания, США;фэнтези, приключения, семейный;Крис Коламбус
Американский пирог;1999;7.2;США;комедия;Пол Вайц, Крис Вайц
Остров сокровищ;1988;8.2;СССР;мультфильм, приключения, мюзикл, комедия;Давид Черкасский
Обливион;2013;7.2;США;фантастика, боевик, триллер, приключения, мелодрама;Джозеф Косински
Монстры;2010;5.9;Великобритания, Мексика;фантастика, триллер, драма, мелодрама, приключения;Гарет Эдвардс
Крик;2022;6.2;США;ужасы, детектив;Мэттью Беттинелли, Тайлер Джиллетт
Сердце из стали;2017;5.7;Китай, Гонконг;фантастика, боевик, триллер;Чжан Лицзя
Бабки;2021;5.4;Россия;комедия, драма;Никита Владимиров
Элвин и бурундуки;2007;6.2;США;семейный, комедия, музыка;Тим Хилл
Молчание;2016;7.1;США, Великобритания, Тайвань, Япония, Мексика, Италия;драма, история;Мартин Скорсезе
Не время умирать;2021;7.0;Великобритания, США;боевик, триллер, приключения;Кэри Дзёдзи Фукунага
Мегрэ и таинственная девушка;2022;6.3;Франция, Бельгия;детектив, криминал;Патрис Леконт
Воспоминания из будущего;2021;6.9;Корея Южная;триллер, детектив, криминал;Со Ю-мин
Остров;2006;7.9;Россия;драма;Павел Лунгин
Еще одна из рода Болейн;2008;7.7;Великобритания, США;драма, мелодрама, биография, история;Джастин Чадвик
Большой куш;2000;8.5;Великобритания, США;криминал, комедия, боевик;Гай Ричи
В метре друг от друга;2019;7.3;США;драма, мелодрама;Джастин Бальдони
Жуткая семейка;2021;6.7;Италия;комедия;Вольфанго Де Биази
Вальдо;2021;6.3;США;триллер, боевик, детектив;Тим Киркби
Индиана Джонс: В поисках утраченного ковчега;1981;8.0;США;приключения, боевик, комедия;Стивен Спилберг
Валериан и город тысячи планет;2017;6.8;Франция, Китай, Германия, ОАЭ, США;фантастика, фэнтези, боевик, приключения;Люк Бессон
Я, робот;2004;7.8;США, Германия;фантастика, боевик, триллер, детектив;Алекс Пройас
Человек-паук: Нет пути домой;2021;8.1;США;фантастика, боевик, приключения, фэнтези;Джон Уоттс
Притворись моей женой;2011;7.3;США;мелодрама, комедия;Деннис Дуган
Лжец, лжец;1997;7.7;США;комедия, фэнтези;Том Шэдьяк
Стикер;2022;7.2;Россия;мелодрама, детектив, триллер;Дмитрий Баран
Остров собак;2018;8.1;США, Германия, Япония, Великобритания;мультфильм, фантастика, фэнтези, драма, комедия, приключения;Уэс Андерсон
Глаза Тэмми Фэй;2021;6.5;США;драма, мелодрама, биография;Майкл Шоуолтер
Человек-паук: Возвращение домой;2017;7.1;США;фантастика, боевик, приключения;Джон Уоттс
Интерстеллар;2014;8.6;Великобритания, Канада, США;фантастика, драма, приключения;Кристофер Нолан
С меня хватит!;1992;7.6;США, Франция, Великобритания;боевик, триллер, драма, криминал;Джоэл Шумахер
Девушка с татуировкой дракона;2011;7.7;США, Швеция, Норвегия;триллер, драма, криминал, детектив;Дэвид Финчер
Атлантида: Затерянный мир;2001;7.8;США;мультфильм, фантастика, фэнтези, боевик, приключения, семейный;Гари Труздейл, Кирк Уайз
Джуманджи;1995;7.9;США;фэнтези, комедия, приключения, семейный;Джо Джонстон
Дело Коллини;2019;7.6;Германия;детектив, драма, криминал, триллер;Марко Кройцпайнтнер
Зеленая книга;2018;8.4;США, Китай;биография, комедия, драма;Питер Фаррелли
Унесённые призраками;2001;8.5;Япония;аниме, мультфильм, фэнтези, приключения, семейный;Хаяо Миядзаки
Человек-паук: Через вселенные;2018;8.1;США;мультфильм, фантастика, фэнтези, боевик, комедия, приключения, семейный;Боб Персичетти, Питер Рэмзи, Родни Ротман
Игры разума;2001;8.5;США;драма, биография, мелодрама;Рон Ховард
Криминальное чтиво;1994;8.6;США;криминал, драма;Квентин Тарантино
Не дыши;2015;6.6;США, Венгрия;триллер, криминал;Федерико Альварес
День курка;2019;7.1;США;фантастика, боевик;Джо Карнахан
Дюнкерк;2017;7.3;Великобритания, Нидерланды, Франция, США;военный, драма, история;Кристофер Нолан
Крупная рыба;2003;7.9;США;фэнтези, драма, мелодрама, приключения;Тим Бёртон
Мистер Нокаут;2022;7.7;Россия;спорт, драма;Артём Михалков
Еще по одной;2020;7.5;Дания, Швеция, Нидерланды;драма, комедия;Томас Винтерберг
Лулу и Бриггс;2021;6.6;США;комедия, драма, приключения;Рид Каролин, Ченнинг Татум
Хардкор;2016;7.1;Россия, США;боевик, фантастика;Илья Найшуллер
Ледниковый период;2002;8.0;США;мультфильм, комедия, приключения, семейный;Крис Уэдж, Карлос Салдана
Между небом и землей;2022;6.3;США;фантастика, драма, мелодрама;Арье Позин
Таксист;2017;8.1;Корея Южная;история, драма, биография;Чан Хун
Послезавтра;2004;7.7;США;фантастика, триллер, драма, приключения;Роланд Эммерих
Основатель;2016;7.5;США, Греция;биография, драма;Джон Ли Хэнкок
Дора и Затерянный город;2019;6.4;США, Мексика, Австралия;комедия, детектив, приключения, семейный;Джеймс Бобин
Малышка на миллион;2004;8.1;США;драма, спорт;Клинт Иствуд
Halo 4: Идущий к рассвету;2012;6.7;США;фантастика, боевик, триллер, приключения, семейный, военный;Стюарт Хендлер
Сталкер;1979;8.1;СССР;фантастика, драма, детектив, приключения;Андрей Тарковский
Темные воды;2019;7.7;США;триллер, драма, биография, история;Тодд Хейнс
Чёрная Пантера;2018;6.5;США;фантастика, боевик, приключения;Райан Куглер
Шерлок Холмс;2009;8.1;США, Германия, Великобритания, Австралия;боевик, приключения, триллер, драма, комедия, криминал, детектив;Гай Ричи
Дневники няни;2007;6.9;США;драма, мелодрама, комедия;Шари Спрингер Берман, Роберт Пульчини
Терминатор 2: Судный день;1991;8.3;США;фантастика, боевик, триллер;Джеймс Кэмерон
Веном 2;2021;6.1;США;фантастика, боевик, ужасы;Энди Серкис
Брат 2;2000;8.1;Россия, США;боевик, криминал;Алексей Балабанов
Хороший, плохой, злой;1966;8.5;Италия, Испания, Германия;приключения, вестерн;Серджио Леоне
Жизнь прекрасна;1997;8.6;Италия;военный, комедия, драма, мелодрама;Роберто Бениньи
Мемуары гейши;2005;8.0;Франция, Япония, США;драма, мелодрама;Роб Маршалл
Дьявол носит Prada;2006;7.6;США, Франция;драма, комедия;Дэвид Фрэнкел
Чёрная Вдова;2021;6.2;США;фантастика, боевик, приключения;Кейт Шортланд
Мажоры на мели;2021;6.4;Франция;комедия;Николя Кюш
Хоббит: Битва пяти воинств;2014;7.8;Новая Зеландия, США;фэнтези, приключения, боевик;Питер Джексон
Ип Ман;2008;8.2;Гонконг, Китай;биография, боевик, драма;Уилсон Ип
Отряд самоубийц;2016;6.1;США;фантастика, боевик, фэнтези, приключения;Дэвид Эйр
Пираты Карибского моря: Проклятие Черной жемчужины;2003;8.3;США;фэнтези, боевик, приключения;Гор Вербински
Балканский рубеж;2019;7.5;Россия, Сербия;боевик, военный, драма, история;Андрей Волгин
Кощей. Начало;2021;7.4;Россия;мультфильм, семейный, приключения, фэнтези;Андрей Колпин
Прибытие;2016;7.6;США, Канада;фантастика, драма;Дени Вильнёв
Мир Юрского периода: Господство;2022;7.2;США;фантастика, боевик, триллер, приключения;Колин Треворроу
Удовольствие;2021;5.6;Швеция, Нидерланды, Франция;драма;Нинья Тюберг
Бэтмен;1989;7.5;США, Великобритания;фантастика, боевик, триллер, криминал;Тим Бёртон
Воспоминания об убийстве;2003;7.7;Корея Южная;детектив, криминал, драма, триллер;Пон Джун-хо
Матрица: Воскрешение;2021;5.8;США;фантастика, боевик;Лана Вачовски
Дом на глубине;2021;5.6;Франция, Бельгия;ужасы;Александр Бустильо, Жюльен Мори
Ремонт малых двигателей;2021;6.3;США;триллер, драма, комедия;Джон Поллоно
Красота по-американски;1999;8.0;США;драма;Сэм Мендес
Поверьте мне. Похищение Лизы МакВей (ТВ;2018;7.1;Канада;драма, криминал, биография;Джим Донован
Опасная вечеринка;2021;4.7;Великобритания;ужасы, драма;Рут Пэкстон
Прятки;2019;4.8;США;триллер, ужасы;Джоэль Мур
Борат;2006;6.7;США;комедия;Ларри Чарльз
Это — Англия;2006;7.5;Великобритания;драма, криминал;Шэйн Медоуз
Пандорум;2009;7.1;Великобритания, Германия;ужасы, фантастика, боевик, триллер, детектив;Кристиан Альварт
Форсаж 8;2017;6.2;США, Китай, Япония;боевик, криминал, приключения;Ф. Гэри Грей
Брат;1997;8.3;Россия;драма, криминал, боевик;Алексей Балабанов
Дом на другой стороне;2020;6.0;Великобритания, США;ужасы, детектив;Дэвид Брукнер
Красная ракета;2021;6.7;США;драма, комедия;Шон Бэйкер
Бойцовский клуб;1999;8.6;США, Германия;триллер, драма, криминал;Дэвид Финчер
Магическая битва 0. Фильм;2021;7.2;Япония;аниме, мультфильм, боевик, фэнтези;Пак Сон-ху
Кто я;2014;7.4;Германия;фантастика, триллер, драма, криминал, детектив;Баран бо Одар
Человек из стали;2013;6.9;США, Великобритания;фантастика, боевик, приключения;Зак Снайдер
Титаник;1997;8.4;США, Мексика, Австралия;мелодрама, история, триллер, драма;Джеймс Кэмерон
Ведьма;2015;6.6;Канада, США, Великобритания;ужасы;Роберт Эггерс
Ходячий замок;2004;8.3;Япония;аниме, мультфильм, фэнтези, мелодрама, приключения;Хаяо Миядзаки
Мой любимый враг;2021;6.9;США;мелодрама, комедия;Питер Хатчингс
Довод;2020;7.5;Великобритания, США;фантастика, боевик, триллер;Кристофер Нолан
Бессмертные;2021;6.8;Россия;драма;Тигран Кеосаян
Папы;2021;6.3;Россия;драма, комедия, семейный;Анна Матисон, Карен Оганесян, Сергей Юдаков
Хищные птицы: Потрясающая история Харли Квинн;2020;5.9;США;боевик, криминал, комедия;Кэти Янь
Мост в Терабитию;2006;7.8;США;фэнтези, драма, приключения, семейный;Габор Чупо
Камуфляж и шпионаж;2019;7.3;США;мультфильм, фантастика, фэнтези, боевик, триллер, комедия, приключения, семейный;Ник Бруно, Трой Квон
Укрощение строптивого;1980;8.4;Италия;мелодрама, комедия;Франко Кастеллано, Джузеппе Моччиа
Чтец;2008;7.9;США, Германия;драма, мелодрама;Стивен Долдри
Голая правда;2009;7.6;США;мелодрама, комедия;Роберт Лукетич
Короче;2017;5.7;США, Норвегия;фантастика, фэнтези, драма;Александр Пэйн
Дивергент;2014;6.7;США;фантастика, детектив, боевик, мелодрама;Нил Бёргер
Охотники за привидениями: Наследники;2021;7.0;США, Канада;фантастика, комедия, боевик, фэнтези;Джейсон Райтман
Ранго;2011;7.2;США, Канада;мультфильм, драма, комедия, приключения, семейный, вестерн;Гор Вербински
Загадочная история Бенджамина Баттона;2008;8.1;США;драма, фэнтези;Дэвид Финчер
Темный рыцарь: Возрождение легенды;2012;8.1;Великобритания, США;фантастика, боевик, триллер, драма, криминал;Кристофер Нолан
Хочу замуж;2022;6.0;Россия;комедия, мелодрама;Соня Карпунина
Новый Человек-паук: Высокое напряжение;2014;6.7;США;фантастика, боевик, приключения;Марк Уэбб
Аквамен;2018;6.8;США, Австралия;фантастика, фэнтези, боевик, приключения;Джеймс Ван
Побег из Шоушенка;1994;9.1;США;драма;Фрэнк Дарабонт
Константин: Повелитель тьмы;2005;7.8;США, Германия;фэнтези, ужасы, боевик, детектив;Френсис Лоуренс
Король Лев;1994;8.8;США;мультфильм, мюзикл, драма, приключения, семейный;Роджер Аллерс, Роб Минкофф
Многоэтажка;2022;7.0;Россия;триллер, драма;Антон Маслов
День слепого Валентина;2022;6.2;Россия;комедия, мелодрама;Александр Баршак
Пласт;2022;5.9;Россия;драма, криминал;Станислав Сапачёв
Леди Баг и Супер-Кот: Пробуждение;2022;7.2;США, Франция, Япония;мультфильм, мюзикл, фэнтези, боевик, мелодрама, комедия, приключения, семейный, детский;Джереми Заг
Дитя человеческое;2006;7.4;США, Великобритания, Япония;фантастика, боевик, триллер;Альфонсо Куарон
Клаус;2019;8.6;Испания, Великобритания, США;мультфильм, семейный, комедия, приключения;Серхио Паблос, Карлос Мартинес Лопес
Мальчик-дельфин;2021;4.7;Россия;мультфильм, приключения, фэнтези, комедия;Андрей Гоглев, Мохаммад Хейрандиш
Адский небоскреб;2001;6.2;Франция;комедия;Шарль Немес
Старикам тут не место;2007;7.8;США;триллер, драма, криминал, вестерн;Итан Коэн, Джоэл Коэн
Милые кости;2009;7.1;США, Великобритания, Новая Зеландия;фэнтези, триллер, драма, криминал, детектив;Питер Джексон
Люди Икс;2000;7.7;США;фантастика, боевик, приключения;Брайан Сингер
Плохие парни навсегда;2020;6.6;США, Мексика;боевик, триллер, комедия, криминал;Адиль Эль Арби, Билал Фалла
LOL [ржунимагу];2008;7.0;Франция;мелодрама, комедия;Лиза Азуэлос
